Time,Rango 00-06,Rango 06-12,Rango 12-18,Rango 18-00
2014-03-02,90.48,537.46,419.54,392.78
2014-03-09,95.74,591.21,469.99,458.7
2014-03-16,104.67,588.71,496.02,469.03
2014-03-23,113.32,605.09,515.99,493.66
2014-03-30,119.07,594.57,497.49,481.88
2014-04-06,123.94,565.74,467.64,401.99
2014-04-13,122.19,492.89,437.65,366.16
2014-04-20,134.48,526.22,417.15,399.09
2014-04-27,132.61,546.03,399.17,387.88
2014-05-04,132.36,577.1,394.74,388.4
2014-05-11,139.52,626.67,398.28,430.71
2014-05-18,133.63,648.95,389.01,446.72
2014-05-25,136.67,608.52,401.75,483.74
2014-06-01,142.29,546.14,415.41,484.4
2014-06-08,138.46,543.97,446.83,471.34
2014-06-15,143.89,496.13,453.27,431.56
2014-06-22,190.47,470.48,486.55,403.63
2014-06-29,194.97,482.6,477.56,421.85
2014-07-06,191.36,477.65,434.89,448.35
2014-07-13,192.02,483.64,423.08,440.83
2014-07-20,151.8,471.75,365.24,382.43
2014-07-27,135.86,450.44,331.33,369.58
2014-08-03,135.46,463.09,345.19,317.62
2014-08-10,133.31,473.05,391.52,296.45
2014-08-17,129.87,411.45,366.52,262.22
2014-08-24,125.21,414.02,369.33,273.97
2014-08-31,118.59,398.19,395.74,273.48
2014-09-07,114.32,399.66,368.34,278.97
2014-09-14,116.97,483.26,430.74,358.21
2014-09-21,122.88,584.96,485.97,455.27
2014-09-28,129.18,572.74,488.42,510.88
2014-10-05,142.84,609.89,570.87,599.97
2014-10-12,149.05,581.03,546.11,612.25
2014-10-19,154.19,575.81,549.87,571.3
2014-10-26,162.8,548.41,559.5,571.75
2014-11-02,161.08,511.26,463.39,549.98
2014-11-09,156.96,498.57,466.17,554.21
2014-11-16,152.75,503.24,512.22,536.07
2014-11-23,157.34,596.64,643.23,542.47
2014-11-30,199.74,707.41,734.61,603.89
2014-12-07,245.58,814.15,824.22,660.87
2014-12-14,306.73,895.79,866.77,764.22
2014-12-21,351.36,901.03,768.42,844.39
2014-12-28,427.04,889.51,720.43,896.94
2015-01-04,434.74,891.28,680.29,907.34
2015-01-11,417.01,829.31,652.05,937.72
2015-01-18,428.08,821.26,662.25,962.74
2015-01-25,367.55,825.31,786.92,965.28
2015-02-01,338.11,808.37,858.59,969.44
2015-02-08,322.68,746.7,817.8,833.02
2015-02-15,269.98,691.58,772.96,708.26
2015-02-22,249.24,669.5,688.85,582.75
2015-03-01,204.31,581.44,575.19,478.21
2015-03-08,197.32,603.3,555.95,507.14
2015-03-15,202.98,688.42,581.75,513.35
2015-03-22,214.17,670.3,560.29,505.34
2015-03-29,230.38,682.52,592.45,699.02
2015-04-05,290.84,679.8,590.17,707.9
2015-04-12,295.06,634.93,551.99,743.34
2015-04-19,252.52,622.77,565.14,755.58
2015-04-26,275.2,621.88,525.46,594.7
2015-05-03,258.1,589.5,490.33,481.61
2015-05-10,224.64,607.54,564.37,433.94
2015-05-17,236.54,663.6,667.43,429.6
