Time,Rango 00-06,Rango 06-12,Rango 12-18,Rango 18-00
2014-04-06,271.76,494.09,585.0,591.33
2014-04-13,255.01,434.72,599.34,548.82
2014-04-20,255.54,473.92,565.46,575.19
2014-04-27,261.77,419.0,750.18,584.63
2014-05-04,255.05,436.76,583.92,619.02
2014-05-11,268.96,432.96,669.88,598.45
2014-05-18,263.66,407.8,502.53,537.55
2014-05-25,244.35,442.33,385.35,530.74
2014-06-01,258.92,431.89,472.38,540.47
2014-06-08,247.6,515.39,599.15,570.19
2014-06-15,251.25,390.78,545.5,621.71
2014-06-22,255.28,469.46,568.12,586.65
2014-06-29,254.03,465.41,549.73,519.95
2014-07-06,240.8,337.59,418.01,418.97
2014-07-13,224.6,333.05,400.48,482.65
2014-07-20,237.46,390.66,536.97,510.66
2014-07-27,290.07,470.34,719.1,709.22
2014-08-03,272.25,410.68,555.1,644.93
2014-08-10,263.13,437.46,614.64,651.97
2014-08-17,256.85,414.28,590.45,475.77
2014-08-24,272.37,539.44,603.54,587.82
2014-08-31,277.63,523.78,551.04,547.03
2014-09-07,253.15,259.99,291.14,303.87
2014-09-14,262.63,427.33,585.29,567.97
2014-09-21,278.58,440.76,580.8,556.12
2014-09-28,271.11,470.55,661.75,579.56
2014-10-05,305.76,424.64,469.72,603.22
2014-10-12,293.83,420.65,552.72,707.99
2014-10-19,288.37,407.32,654.25,573.2
2014-10-26,286.59,401.75,530.55,655.59
2014-11-02,302.08,428.34,720.53,620.99
2014-11-09,312.03,433.89,647.3,629.46
2014-11-16,372.58,423.12,786.53,643.43
2014-11-23,333.51,384.78,594.82,582.98
2014-11-30,306.26,419.68,561.18,542.54
2014-12-07,297.51,379.61,549.78,567.0
2014-12-14,276.27,384.17,563.63,519.44
2014-12-21,327.2,441.51,797.78,750.58
2014-12-28,305.44,416.38,587.56,599.49
2015-01-04,336.13,466.39,683.54,745.4
2015-01-11,324.89,442.83,630.62,740.9
2015-01-18,369.2,491.38,763.58,689.47
2015-01-25,293.69,441.56,687.77,748.54
2015-02-01,306.19,429.04,683.39,637.94
2015-02-08,316.84,436.17,640.24,655.44
2015-02-15,295.44,364.99,489.24,576.27
2015-02-22,304.11,382.46,673.05,626.39
2015-03-01,306.12,386.44,590.72,605.72
2015-03-08,344.97,430.86,522.02,560.97
2015-03-15,306.71,434.02,615.34,574.79
2015-03-22,303.1,396.04,531.87,544.78
2015-03-29,293.5,340.02,383.2,534.33
2015-04-05,309.74,391.39,390.04,538.1
2015-04-12,280.97,373.96,551.95,640.94
2015-04-19,284.02,414.52,539.57,552.5
2015-04-26,287.04,401.87,480.16,514.11
2015-05-03,316.05,415.45,496.3,594.47
2015-05-10,305.51,378.24,631.64,582.66
2015-05-17,382.6,476.75,748.2,695.81
2015-05-24,565.87,616.96,667.17,687.31
2015-05-31,546.64,565.57,646.96,619.6
